title,price_including_tax,availability,upc,category
The Secret Garden,Â£15.08,In stock (5 available),abbb492978ff656d,Classics,https://books.toscrape.com/media/cache/f1/78/f17805e88aed31aae352ab250b2a379d.jpg
The Metamorphosis,Â£28.58,In stock (5 available),93379e3a2072a01b,Classics,https://books.toscrape.com/media/cache/9b/33/9b33c3c40c8d27054a3edf96cbf6a2fb.jpg
The Pilgrim's Progress,Â£50.26,In stock (4 available),6053ddf69c967d5f,Classics,https://books.toscrape.com/media/cache/91/2a/912acfe6ee354d9d9bf3c1fa517c4252.jpg
The Hound of the Baskervilles (Sherlock Holmes #5),Â£14.82,In stock (4 available),6587f46697fc4443,Classics,https://books.toscrape.com/media/cache/9d/fe/9dfe2a73c6a1a1c09927c904de641ebf.jpg
Little Women (Little Women #1),Â£28.07,In stock (4 available),deda806b68b0aa11,Classics,https://books.toscrape.com/media/cache/55/a9/55a942b0c092c40bdbb6a1f1be340984.jpg
Gone with the Wind,Â£32.49,In stock (4 available),23310ce84d3c9f85,Classics,https://books.toscrape.com/media/cache/ac/ee/acee20cff19be38cc3efc5e9b50afae4.jpg
Candide,Â£58.63,In stock (4 available),2798974abc8a58a8,Classics,https://books.toscrape.com/media/cache/e7/7d/e77d917c495e649216225bd47e006482.jpg
Animal Farm,Â£57.22,In stock (4 available),1451b55e5e56bb89,Classics,https://books.toscrape.com/media/cache/73/b9/73b9d68a89e6d037f1afdc70f96bad09.jpg
Wuthering Heights,Â£17.73,In stock (3 available),5a7ff9aaa3168878,Classics,https://books.toscrape.com/media/cache/d8/64/d8644073d00c000cb60643256080cc4b.jpg
The Picture of Dorian Gray,Â£29.70,In stock (3 available),b9f6305a3d650e2c,Classics,https://books.toscrape.com/media/cache/67/29/67297ff3ae6cb02884c52e5250fe7c1a.jpg
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Â£26.78,In stock (3 available),cad70d6ffd53912f,Classics,https://books.toscrape.com/media/cache/55/2d/552d55d44dcc0f27e98b3e7dc3959e1a.jpg
Beowulf,Â£38.35,In stock (3 available),3fb69f34e178d494,Classics,https://books.toscrape.com/media/cache/3d/8c/3d8cd7a42d3e57cb10e02f9ab76bd549.jpg
And Then There Were None,Â£35.01,In stock (3 available),cfe350b20d23b02b,Classics,https://books.toscrape.com/media/cache/6f/b0/6fb0c3064656f888125ab577b6a01867.jpg
The Story of Hong Gildong,Â£43.19,In stock (1 available),32d035df92ab9080,Classics,https://books.toscrape.com/media/cache/b5/5b/b55be7e5c18b62cef6ebeae404f7f643.jpg
The Little Prince,Â£45.42,In stock (1 available),1aeca7d078d57deb,Classics,https://books.toscrape.com/media/cache/c0/d6/c0d67625e62981155f5e1f553bda1a94.jpg
Sense and Sensibility,Â£37.46,In stock (1 available),35e44170702139a4,Classics,https://books.toscrape.com/media/cache/a8/57/a857deea83c7d4c66e2920e1cf5d8fe0.jpg
Of Mice and Men,Â£47.11,In stock (1 available),39592d9d72e717c4,Classics,https://books.toscrape.com/media/cache/a0/bb/a0bb0881c8ee6f5866804cf0a437853f.jpg
Emma,Â£32.93,In stock (1 available),2e69730561ed70ad,Classics,https://books.toscrape.com/media/cache/ae/98/ae98d08a6f427491dd8eda6b51af41fe.jpg
Alice in Wonderland (Alice's Adventures in Wonderland #1),Â£55.53,In stock (1 available),cd2a2a70dd5d176d,Classics,https://books.toscrape.com/media/cache/99/df/99df494c230127c3d5ff53153d1f23a3.jpg
