title,price_including_tax,availability,upc,category
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock (19 available),3b1c02bac2a429e6,Sequential Art,https://books.toscrape.com/media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock (16 available),09555be379ad9253,Sequential Art,https://books.toscrape.com/media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg
This One Summer,Â£19.49,In stock (16 available),51653ef291ab7ddc,Sequential Art,https://books.toscrape.com/media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg
The Nameless City (The Nameless City #1),Â£38.16,In stock (16 available),7d385d34d12e60ff,Sequential Art,https://books.toscrape.com/media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,In stock (16 available),53a3d11bb568cc8b,Sequential Art,https://books.toscrape.com/media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,In stock (16 available),c82a3e358c773c73,Sequential Art,https://books.toscrape.com/media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,In stock (16 available),0fa6dceead7ce47a,Sequential Art,https://books.toscrape.com/media/cache/6c/8f/6c8ffe949fb650ba60eff25be1692881.jpg
"Pop Gun War, Volume 1: Gift",Â£18.97,In stock (16 available),e80f8e518b300dfe,Sequential Art,https://books.toscrape.com/media/cache/6f/7b/6f7b3b8445b943f4ff7426360daefb88.jpg
Patience,Â£10.16,In stock (16 available),9429b4d59c537af5,Sequential Art,https://books.toscrape.com/media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,In stock (16 available),889139b8e9c4cb36,Sequential Art,https://books.toscrape.com/media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,In stock (16 available),11809b1d323b3057,Sequential Art,https://books.toscrape.com/media/cache/33/0b/330bf57e3f2e70548f87d39cb956f7eb.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,In stock (16 available),460089f796fb3f82,Sequential Art,https://books.toscrape.com/media/cache/67/f8/67f83a06f77d0ff3b06cb8ac04839422.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,In stock (16 available),b6ee99bcf06fc91f,Sequential Art,https://books.toscrape.com/media/cache/1c/78/1c78cb31ededc4c662857cf65bd1619d.jpg
